author,author_association,state,comments,pull_request,created_at,updated_at,closed_at,body,url,repo
katrinleinweber,CONTRIBUTOR,closed,3,https://github.com/tidyverse/ggplot2/pull/3641,2019-11-25T08:20:14Z,2019-11-26T08:35:48Z,2019-11-26T07:06:10Z,"Hello :-) Is it intended that this link directs to the package-level docu, instead of the relevant function?",https://github.com/tidyverse/ggplot2/pull/3641,ggplot2
hadley,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/3639,2019-11-24T18:57:49Z,2019-12-13T13:23:11Z,2019-12-13T13:23:07Z,"Which, most importantly, eliminates an indirect dependency on stringi.",https://github.com/tidyverse/ggplot2/pull/3639,ggplot2
yutannihilation,MEMBER,closed,3,https://github.com/tidyverse/ggplot2/pull/3638,2019-11-24T02:02:52Z,2019-11-25T00:12:22Z,2019-11-24T18:12:10Z,"It seems these are diffs about coloubar legends, though they doesn't seem different to my eyes.

The latest build passes (https://github.com/tidyverse/ggplot2/commit/cb0eaa0e16063517e7c8f8453bb2a10641d2f0d1) on 6 days ago, so I suspect this might be related to some update of scales.",https://github.com/tidyverse/ggplot2/pull/3638,ggplot2
hadley,MEMBER,closed,5,https://github.com/tidyverse/ggplot2/pull/3637,2019-11-23T15:23:09Z,2019-11-24T18:57:03Z,2019-11-24T18:56:05Z,"Including converting all uses of `\%` back to `%`, and removing roxygen2 tags that the new warnings indicated were superfluous.",https://github.com/tidyverse/ggplot2/pull/3637,ggplot2
brwheeler,NONE,open,0,https://github.com/tidyverse/ggplot2/pull/3634,2019-11-19T02:55:22Z,2021-10-28T02:16:24Z,list(),I used the changes proposed in #3458 by explicitly that it's not `mm` and mentioning `.pt`. Also capitalized first letters and added punctuation to be consistent with other text on page.,https://github.com/tidyverse/ggplot2/pull/3634,ggplot2
yutannihilation,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/3632,2019-11-18T04:02:13Z,2019-12-13T10:09:49Z,2019-12-13T10:09:42Z,"I see this mixed contents warning on https://ggplot2.tidyverse.org/

<img width=""332"" alt=""screenshot of https://ggplot2.tidyverse.org/"" src=""https://user-images.githubusercontent.com/1978793/69023801-70b04000-0a03-11ea-9ae7-89480e1a9952.png"">
",https://github.com/tidyverse/ggplot2/pull/3632,ggplot2
yutannihilation,MEMBER,closed,2,https://github.com/tidyverse/ggplot2/pull/3631,2019-11-17T03:56:09Z,2020-05-20T21:54:58Z,2019-11-17T05:24:20Z,Fix #3623,https://github.com/tidyverse/ggplot2/pull/3631,ggplot2
yutannihilation,MEMBER,closed,3,https://github.com/tidyverse/ggplot2/pull/3630,2019-11-17T01:22:07Z,2019-11-23T15:55:10Z,2019-11-23T15:55:05Z,"Use the latest version of roxygen2 to generate documents, and fix various places due to the change of roxygen2's behaviour.

### Formatting of Usage sections

Most of the diff comes from the fact that roxygen2 now formats usages a bit prettier than before. For example:

```diff
-absoluteGrob(grob, width = NULL, height = NULL, xmin = NULL,
-  ymin = NULL, vp = NULL)
+absoluteGrob(
+  grob,
+  width = NULL,
+  height = NULL,
+  xmin = NULL,
+  ymin = NULL,
+  vp = NULL
+)
```

This diff is harmless and there's nothing we need to do.

### Escape of `%`

Contrary to the previous version where we needed to escape `%` by ourselves, now roxygen2 escapes `%` automatically. As a result, 

``` r
#' 100\%
```

is converted to

``` r
100\\%
```

Here, `\\` is translated as an escaped `\` and `%` is translated as an **unescaped** `%`, which means the Rd comment symbol. This is problematic when it's used in a line containing `}`. For example, 

``` r
 \item{width}{Bar width. By default, set to 90\\% of the resolution of the data.}
```

is translated as ` \item{width}{Bar width. By default, set to 90\\` + comments.

So, we must remove this `\` except when it's used in raw Rd macros (e.g. `\code{}`). For example, 

``` r
#' \code{\%+\%}
```

should be left as is.

### Unused `@inheritParams`

It seems roxygen2 now warns when `@inheritParams` is not used. I removed two` @inheritParams`. This doesn't change the result documents as they ware not used actually.

### Misuse of `@rdname`

I think we misuse `@rdname` in some places where we should use `@name`. I don't understand why `devtools::document()` warns only for `scale-step`, but I guess this is what the following warning suggests:

```
Warning: [.../ggplot2/R/scale-steps.R:46] @rdname May only use one @rdname per block
```
",https://github.com/tidyverse/ggplot2/pull/3630,ggplot2
clauswilke,MEMBER,closed,5,https://github.com/tidyverse/ggplot2/pull/3629,2019-11-17T00:46:54Z,2020-05-20T21:46:52Z,2019-11-18T03:34:52Z,"This is an idea for theme caching. We can calculate the entire theme right before rendering, so that we don't have to calculate theme elements on the fly over and over. It makes little difference in speed for rendering a single plot, but it speeds up gganimate by about 5% for a realistic example.

The code I'm using to test:
``` r
library(ggplot2)
library(gganimate)

p <- ggplot(mtcars, aes(factor(cyl), mpg, color = factor(cyl))) + 
  geom_boxplot() + 
  ggtitle(""Title here"", subtitle = ""Subtitle here"") +
  transition_states(gear)
```

The output from benchmarking:
```
> bench::mark(animate(p), iterations = 5)
theme caching turned off
                                                                                 
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
# A tibble: 1 x 13
  expression   min median `itr/sec` mem_alloc `gc/sec` n_itr  n_gc total_time
  <bch:expr> <bch> <bch:>     <dbl> <bch:byt>    <dbl> <int> <dbl>   <bch:tm>
1 animate(p)   23s  23.6s    0.0425    53.2MB     2.38     5   280      1.96m
# … with 4 more variables: result <list>, memory <list>, time <list>, gc <list>
Warning message:
Some expressions had a GC in every iteration; so filtering is disabled. 

> bench::mark(animate(p), iterations = 5)
theme caching turned on
                                                                                 
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
Frame 100 (100%)
Finalizing encoding... done!
# A tibble: 1 x 13
  expression   min median `itr/sec` mem_alloc `gc/sec` n_itr  n_gc total_time
  <bch:expr> <bch> <bch:>     <dbl> <bch:byt>    <dbl> <int> <dbl>   <bch:tm>
1 animate(p) 21.4s  22.7s    0.0447    61.9MB     2.33     5   261      1.87m
# … with 4 more variables: result <list>, memory <list>, time <list>, gc <list>
Warning message:
Some expressions had a GC in every iteration; so filtering is disabled. 
```

Note: gganimate requires a small modification, see here: https://github.com/clauswilke/gganimate/commit/442a471c886fe8bc5880cb2fa3cba93f3c06038a

@thomasp85 Do you think this is worthwhile pursuing? I had hoped for a bigger speed increase, but 5% is not nothing.
",https://github.com/tidyverse/ggplot2/pull/3629,ggplot2
lwjohnst86,CONTRIBUTOR,closed,4,https://github.com/tidyverse/ggplot2/pull/3628,2019-11-16T20:12:01Z,2020-05-20T21:51:04Z,2019-11-18T00:59:48Z,:),https://github.com/tidyverse/ggplot2/pull/3628,ggplot2
batpigandme,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3615,2019-11-06T20:10:57Z,2020-05-06T12:06:06Z,2019-11-08T10:09:35Z,cc @hadley ,https://github.com/tidyverse/ggplot2/pull/3615,ggplot2
clauswilke,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3613,2019-11-05T06:15:47Z,2020-05-05T22:12:11Z,2019-11-06T02:02:49Z," This closes #3606:

``` r
library(ggplot2)
ggplot() + geom_histogram(aes(x= rep(0.25,10)))
#> `stat_bin()` using `bins = 30`. Pick better value with `binwidth`.
```

![](https://i.imgur.com/i7g0hax.png)

<sup>Created on 2019-11-05 by the [reprex package](https://reprex.tidyverse.org) (v0.3.0)</sup>",https://github.com/tidyverse/ggplot2/pull/3613,ggplot2
yutannihilation,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3608,2019-11-04T10:29:23Z,2020-05-05T22:14:02Z,2019-11-06T01:15:48Z,"Fix #3589

``` r
library(ggplot2)
library(sf)
#> Linking to GEOS 3.7.2, GDAL 3.0.1, PROJ 6.2.0

d <- data.frame(x = 1:5, y = 1:5)

l <- st_linestring(as.matrix(d))
sf <- st_sf(geometry = st_sfc(l))

p1 <- ggplot(d, aes(x, y)) + geom_line(alpha = 0.1) + ggtitle(""geom_line()"")
p2 <- ggplot(sf) + geom_sf(alpha = 0.1) + ggtitle(""geom_sf()"")

patchwork::wrap_plots(p1, p2)
```

![](https://i.imgur.com/X0xF7hW.png)

<sup>Created on 2019-11-04 by the [reprex package](https://reprex.tidyverse.org) (v0.3.0)</sup>
",https://github.com/tidyverse/ggplot2/pull/3608,ggplot2
thomasp85,MEMBER,closed,2,https://github.com/tidyverse/ggplot2/pull/3605,2019-11-04T08:03:27Z,2020-05-20T22:09:07Z,2019-11-14T08:50:55Z,Fix #3590,https://github.com/tidyverse/ggplot2/pull/3605,ggplot2
paleolimbot,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3603,2019-11-01T16:19:51Z,2020-05-05T22:19:44Z,2019-11-01T21:02:07Z,"As discussed in #3588, this is a PR adding myself as a core developer. Thanks @yutannihilation for the nomination! Thanks to @hadley for giving me the opportunity to contribute to ggplot2 as an intern, and thanks to everyone for taking the time to review my PRs over the last year. I look forward to contributing more in the future!",https://github.com/tidyverse/ggplot2/pull/3603,ggplot2
clauswilke,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3600,2019-10-31T04:17:23Z,2020-05-05T22:20:55Z,2019-10-31T15:08:27Z,"I made a few improvements to the error messages when plot addition fails, based on recommendations in the tidyverse style guide and also based on feedback from this Twitter thread: https://twitter.com/ClausWilke/status/1189725947508989953?s=20

``` r
library(ggplot2)

ggplot() + 1
#> Error: Can't add `1` to a ggplot object.

ggplot() + geom_point
#> Error: Can't add `geom_point` to a ggplot object.
#> Did you forget to add parentheses, as in `geom_point()`?
```

<sup>Created on 2019-10-30 by the [reprex package](https://reprex.tidyverse.org) (v0.3.0)</sup>",https://github.com/tidyverse/ggplot2/pull/3600,ggplot2
paleolimbot,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3599,2019-10-29T23:28:14Z,2020-05-05T22:15:41Z,2019-11-04T12:29:48Z,"This is a PR to fix #3573, a bug whereby guides with repeated labels were merged incorrectly. This bug occurred because the two guides keys were merged using `merge()`, which only works when there are no duplicate values in the `.label` column.

<details>
Current behaviour:

```r
guide1 <- list(
  key = tibble::tibble(
    colour = 1:4, 
    .label = c(""low"", ""low"", ""high"", ""high"")
  )
)

guide2 <- list(
  key = tibble::tibble(
    linetype = 1:4, 
    .label = c(""low"", ""low"", ""high"", ""high"")
  )
)

ggplot2:::guide_merge.legend(guide1, guide2)$key
#>   .label colour linetype
#> 1    low      1        1
#> 2    low      1        2
#> 3    low      2        1
#> 4    low      2        2
#> 5   high      3        3
#> 6   high      3        4
#> 7   high      4        3
#> 8   high      4        4
```

Behaviour after this PR:

``` r
guide1 <- list(
  key = tibble::tibble(
    colour = 1:4, 
    .label = c(""low"", ""low"", ""high"", ""high"")
  )
)

guide2 <- list(
  key = tibble::tibble(
    linetype = 1:4, 
    .label = c(""low"", ""low"", ""high"", ""high"")
  )
)

ggplot2:::guide_merge.legend(guide1, guide2)$key
#>   colour .label linetype
#> 1      1    low        1
#> 2      2    low        2
#> 3      3   high        3
#> 4      4   high        4
```
</details>

In the current implementation of merging, guides are only merged when they have identical `direction`, `key$.label`, `title`, and `name`. Because `key$.label` has to be identical for both guides, it should be safe to use `cbind()` in `guide_merge.guide_legend()` instead of `merge()`. I took the opportunity to write (non-visual) tests for guide merging to make sure it didn't break anything. As always, happy to be convinced otherwise (or that this shouldn't be fixed right now).",https://github.com/tidyverse/ggplot2/pull/3599,ggplot2
paleolimbot,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3598,2019-10-29T21:40:46Z,2020-05-05T22:22:02Z,2019-10-30T13:51:26Z,"This is a pull request to fix downstream package failures when a dependency package uses `stat/geom_contour()`, which after #3439 uses the isoband package. As discussed in #3564, the best solution is probably to add ""isoband"" to `Imports` rather than `Suggests`. This PR implements this change (closes #3564).",https://github.com/tidyverse/ggplot2/pull/3598,ggplot2
yutannihilation,MEMBER,closed,7,https://github.com/tidyverse/ggplot2/pull/3597,2019-10-29T16:24:04Z,2020-05-05T22:23:12Z,2019-10-29T23:04:59Z,"Fix #3552

Currently, `strip_dots()` and `is_calculated()` treat a quosure as a call, and it surprisingly works for now, but it's fragile. A quosure should be treated as a quosure...",https://github.com/tidyverse/ggplot2/pull/3597,ggplot2
yutannihilation,MEMBER,closed,10,https://github.com/tidyverse/ggplot2/pull/3596,2019-10-28T23:23:54Z,2020-04-26T05:14:43Z,2019-10-29T03:13:10Z,"It's a common mistake to forget to run `devtools::documents()`, but it's hard to detect them by reviewing on GitHub. It would be nice if it can be detected on Travis CI. This PR adds an `after_script` for this; the error might be false positive so it can be ignored by manually checking the CI results.",https://github.com/tidyverse/ggplot2/pull/3596,ggplot2
clauswilke,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3595,2019-10-28T23:19:53Z,2020-04-26T05:14:41Z,2019-10-29T03:31:23Z,This simply updates the namespace and man pages to the latest version.,https://github.com/tidyverse/ggplot2/pull/3595,ggplot2
clauswilke,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3594,2019-10-28T16:27:03Z,2020-05-05T22:25:18Z,2019-10-29T16:32:42Z,"This closes #3571:

``` r
library(ggplot2)
ggplot() + geom_point
#> Error: Don't know how to add geom_point to a plot. Did you mean geom_point()?
```

<sup>Created on 2019-10-28 by the [reprex package](https://reprex.tidyverse.org) (v0.3.0)</sup>",https://github.com/tidyverse/ggplot2/pull/3594,ggplot2
yutannihilation,MEMBER,closed,4,https://github.com/tidyverse/ggplot2/pull/3593,2019-10-28T11:00:47Z,2020-05-05T22:17:09Z,2019-11-04T09:37:14Z,"Fix #3582

The result of `do.call(""cbind"", lapply(guide$geoms, function(g) g$data$size / 10))` can be an empty matrix, which cannot be subsetted. I guess the branch `if (nrow(key_size_mat) == 0 || ncol(key_size_mat) == 0) {` is prepared to handle this.",https://github.com/tidyverse/ggplot2/pull/3593,ggplot2
hadley,MEMBER,open,8,https://github.com/tidyverse/ggplot2/pull/3591,2019-10-27T12:55:43Z,2021-10-28T02:16:24Z,list(),"To pass in both limits and major breaks. This will make it much easier to create useful families of minor break functions in scales.

Fixes #3583

@thomasp85 — if you think this approach is reasonable I'll work on a NEWS bullet. I think documentation will need to happen in a separate PR because all of `breaks`, `labels`, and `minor_breaks` need revision to point to the reader towards the scales package.",https://github.com/tidyverse/ggplot2/pull/3591,ggplot2
clauswilke,MEMBER,closed,2,https://github.com/tidyverse/ggplot2/pull/3585,2019-10-25T06:50:04Z,2020-05-20T22:02:20Z,2019-11-14T15:39:42Z,This PR closes #3584 by making sure every theme explicitly defines every possible theme element. The strategy is to simply set every element that hasn't been defined explicitly to `NULL`. This can be done programmatically in a few lines of code. ,https://github.com/tidyverse/ggplot2/pull/3585,ggplot2
Ilia-Kosenkov,NONE,open,2,https://github.com/tidyverse/ggplot2/pull/3581,2019-10-23T12:07:15Z,2021-10-28T02:16:24Z,list(),"This PR suggests a solution that addresses issue #3576.
When plotting the secondary axis, tick positions of the secondary should be transformed to the range of the primary axis (`AxisSecondary$break_info()`). To achieve this, a grid (`old_range`) is generated (of the size `AxisSecondary$detail`, defaulted to `1000`). This grid is then transformed to the secondary axis scale (named `full_range`). Each tick of the secondary axis is transformed to the primary's scale by finding the `index` of the closest value in the `full_range` (`index <- which.min(abs(full_range - x))`) and adopting `old_range[index]` as tick position in the primary axis scale. 

It is easy to understand that if `full_range` does not contain values equal to the secondary axis ticks, transformation is not accurate and the quality of this transformation depends on the grid size. This is observed in #3576, when duplicated axis (`dup_axis`) cannot properly position its ticks.

A simple alternative solution is to introduce linear interpolation. Instead of using the closest grid value, it is better to use two grid values and interpolate in between to increase the quality of the transformation. This works exceptionally well in the case of linear transformations of the secondary axis, including duplicated axes (`dup_axis`).

The method works well for different combinations of primary/secondary transformations, including when one axis is monotonically increasing while another is decreasing. There are no checks for boundary cases, i.e. when ticks are found at the edges of the grid, which I assume never happens.
",https://github.com/tidyverse/ggplot2/pull/3581,ggplot2
microly,CONTRIBUTOR,closed,9,https://github.com/tidyverse/ggplot2/pull/3580,2019-10-21T15:02:26Z,2019-12-13T09:16:25Z,2019-12-13T09:16:25Z,"The default value of ScaleBinned$n.breaks was set to the same as trans objects.
The default value of trans objects can map data to 5 colours in plot and legend, which is a direct-viewing color display.

However, when n.breaks is set to 5, ScaleBinned will map the data to **6 colours**!
6 colours display is not so good as 5 colours. 

This occur in the codes:
https://github.com/tidyverse/ggplot2/blob/115c3960d0fd068f1ca4cfe4650c0e0474aabba5/R/scale-.r#L914
and
https://github.com/tidyverse/ggplot2/blob/115c3960d0fd068f1ca4cfe4650c0e0474aabba5/R/scale-.r#L928

So I think the default value of ScaleBinned$n.breaks should be 4, not 5, then it can works the same way as trans objects.

@thomasp85 , please consider it, thanks!",https://github.com/tidyverse/ggplot2/pull/3580,ggplot2
idno0001,CONTRIBUTOR,closed,7,https://github.com/tidyverse/ggplot2/pull/3579,2019-10-19T22:04:45Z,2019-12-16T09:35:50Z,2019-12-16T09:35:36Z,"Fixes #2429.

As noted in the issue, currently `values` can be matched with a named vector. The below examples show (1) this as a baseline, (2) how behaviour changes as `breaks` are added, and the new behaviour (3) when `values` is not a named vector.

``` r
library(ggplot2)

df <- data.frame(x = c(""data_red"", ""data_black""))

p <- ggplot(df, aes(x, 1, fill = x)) + 
  geom_col()

# Named values, no breaks
p + scale_fill_manual(values = c(""data_red"" = ""red"", ""data_black"" = ""black""))
```

![](https://i.imgur.com/lmPyhHx.png)

``` r
# Named values with breaks
p + scale_fill_manual(values = c(""data_red"" = ""red"", ""data_black"" = ""black""),
                      breaks = c(""data_red"", ""data_black""))
```

![](https://i.imgur.com/VoBjYAM.png)

``` r
# New behaviour: values matched to breaks
p + scale_fill_manual(values = c(""red"", ""black""),
                      breaks = c(""data_red"", ""data_black""))
```

![](https://i.imgur.com/KhhZk5n.png)

<sup>Created on 2019-10-19 by the [reprex package](https://reprex.tidyverse.org) (v0.3.0)</sup>",https://github.com/tidyverse/ggplot2/pull/3579,ggplot2
microly,CONTRIBUTOR,closed,13,https://github.com/tidyverse/ggplot2/pull/3575,2019-10-18T04:46:26Z,2020-05-20T21:58:47Z,2019-11-14T09:18:24Z,"this pull request try to fix the bug in issue #3574 . 

I set n.breaks as the second parameter of breaks function.
if the n.breaks is not set by users, it will set to the default value 5, which is the same default as trans objects.

n.breaks can be set by end users.
So, after this fix, users can get meaningful breaks by set breaks as a function and get meaningful breaks using the values of limits and n.breaks.",https://github.com/tidyverse/ggplot2/pull/3575,ggplot2
clauswilke,MEMBER,closed,3,https://github.com/tidyverse/ggplot2/pull/3570,2019-10-14T22:54:26Z,2020-04-25T08:32:48Z,2019-10-23T03:57:15Z,"Here is an attempt at fixing #3039. Recall: That issue shows that adding theme elements piecewise behaves differently from adding them all at once. The problem is that when adding a theme to a plot object, the current implementation pulls missing info from the default theme, but this is not the case when adding a theme to a theme. In my mind, this behavior is inconsistent. The addition should behave the same in both cases. The solution is to delete the plot-specific update function.

This is the reprex from #3039, which now works just fine:
``` r
library(ggplot2)

p <- ggplot(mtcars, aes(wt, mpg)) + geom_point()
p1 <- p + theme_light() + 
  theme(axis.line.x = element_line(color = ""blue"")) +
  theme(axis.ticks.x = element_line(color = ""red""))

p2 <- p + theme_light() +
  theme(axis.line.x = element_line(color = ""blue""),
        axis.ticks.x = element_line(color = ""red""))

identical(p1$theme, p2$theme)
#> [1] TRUE

p1
```

![](https://i.imgur.com/EYZDk2I.png)

``` r
p2
```

![](https://i.imgur.com/QESJWpC.png)

<sup>Created on 2019-10-14 by the [reprex package](https://reprex.tidyverse.org) (v0.3.0)</sup> 

However, this is potentially a breaking change (and in fact, some unit tests currently break), because partially updating root elements of a theme doesn't work anymore:
(**Update:** This has now been fixed, see below.)
``` r
library(ggplot2)

# this now breaks but works in current ggplot2 by magically pulling info from default theme
ggplot(iris, aes(Sepal.Length, Sepal.Width)) +
  geom_point() +
  theme(text = element_text(color = ""red""))
#> Error in FUN(X[[i]], ...): Theme element 'text' has NULL property: family, face, size, hjust, vjust, angle, lineheight, margin, debug

# this still works
ggplot(iris, aes(Sepal.Length, Sepal.Width)) +
  geom_point() +
  theme(axis.title = element_text(color = ""red""))
```

![](https://i.imgur.com/y44DTFz.png)

<sup>Created on 2019-10-14 by the [reprex package](https://reprex.tidyverse.org) (v0.3.0)</sup>

I think the new behavior is correct. If we're messing with a root element, we should have to specify it completely. However, if that's considered to be bad, we could also fix the problem at this point in the code:
https://github.com/tidyverse/ggplot2/blob/115c3960d0fd068f1ca4cfe4650c0e0474aabba5/R/theme.r#L558-L565
by pulling values from the ggplot2 default theme where available instead of issuing an error.",https://github.com/tidyverse/ggplot2/pull/3570,ggplot2
dkahle,CONTRIBUTOR,closed,9,https://github.com/tidyverse/ggplot2/pull/3569,2019-10-14T20:27:17Z,2019-12-18T10:47:20Z,2019-12-18T10:47:08Z,,https://github.com/tidyverse/ggplot2/pull/3569,ggplot2
ThomasKnecht,NONE,closed,2,https://github.com/tidyverse/ggplot2/pull/3567,2019-10-14T08:34:07Z,2020-04-15T08:04:08Z,2019-10-14T10:11:59Z,"The position_nudgestack() is meant to plot stacked bar-plots between the x-axis tick marks. This is especially useful for time series for styling reasons. position_nudgestack() is a simple combination of the two positions: position_nudge() and position_stack().

I created this position since I needed to create time series plots where it was wished that the stacked bars are between monthly x-axis ticks (mainly because of style reasons). Furthermore, I saw that other people might also be interested in the combination of these two positions:

https://stackoverflow.com/questions/55730693/ggplot2-combine-positioning-commands-position-nudge-and-position-stack

https://stat.ethz.ch/pipermail/r-help/2008-October/178162.html
",https://github.com/tidyverse/ggplot2/pull/3567,ggplot2
paleolimbot,MEMBER,closed,8,https://github.com/tidyverse/ggplot2/pull/3566,2019-10-11T02:20:51Z,2020-01-09T20:04:05Z,2019-11-14T15:24:30Z,"This PR fixes two regressions I introduced in #3398 and #3426. The first affected plots where labels and breaks were specified manually (#3558):

```r
library(ggplot2)
ggplot(mpg, aes(cty, hwy)) +
  geom_point() +
  scale_x_continuous(
    breaks = c(0, 20, 40),
    labels = c(""0"", ""20"", ""40"")
  )
#> Error: Breaks and labels are different lengths
```

This was because I censored breaks at the wrong place when I introduced `ViewScale`s. This is fixed in this PR.

The second involves plots where there is no data and NA limits (#3560). I think NA limits should be considered ""empty"" when there is no data, which is how I implemented it in this PR. I also made sure that functional limits work on all discrete scales (#3448), and that NA limits aren't replaced with data limits on discrete scales (I don't even know what that would look like but probably has induced more than one spurious error). Feel free to debate how I should implement either of these.

```r
library(ggplot2)
ggplot(data.frame(x = numeric(0)), aes(x)) + 
  geom_point() +
  scale_x_continuous(limits = c(0, NA))
#> Warning in rep(yes, length.out = len): 'x' is NULL so the result will be
#> NULL
#> Error in ans[ypos] <- rep(yes, length.out = len)[ypos]: replacement has length zero
```",https://github.com/tidyverse/ggplot2/pull/3566,ggplot2
mine-cetinkaya-rundel,CONTRIBUTOR,closed,2,https://github.com/tidyverse/ggplot2/pull/3562,2019-10-10T09:31:31Z,2020-05-05T22:24:15Z,2019-10-29T18:54:01Z,"""makes it easy to specific colours"" = ""makes it easy to **choose** specific colours""",https://github.com/tidyverse/ggplot2/pull/3562,ggplot2
karawoo,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3556,2019-10-07T16:40:18Z,2020-04-04T19:26:49Z,2019-10-07T17:38:32Z,Per @clauswilke's [comment on #3548](https://github.com/tidyverse/ggplot2/issues/3548#issuecomment-538767599).,https://github.com/tidyverse/ggplot2/pull/3556,ggplot2
thomasp85,MEMBER,closed,2,https://github.com/tidyverse/ggplot2/pull/3555,2019-10-07T12:51:39Z,2020-04-04T16:00:45Z,2019-10-07T14:44:28Z,"Fix #3548 

The old call to `remove_missing()` in `Stat$compute_layer()` did not factor in the new `x|y` notation allowed in `Stat$required_aes` for bidirectional layers. This caused missing data to not be removed correctly. This PR fixes the problem",https://github.com/tidyverse/ggplot2/pull/3555,ggplot2
thomasp85,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3554,2019-10-07T12:05:05Z,2020-04-04T16:00:48Z,2019-10-07T14:44:03Z,Fix #3551 ,https://github.com/tidyverse/ggplot2/pull/3554,ggplot2
thomasp85,MEMBER,closed,1,https://github.com/tidyverse/ggplot2/pull/3553,2019-10-07T11:55:55Z,2020-04-15T08:10:28Z,2019-10-09T08:33:48Z,revdepchecks have uncovered a few bugs in the sniffing that has been fixed here,https://github.com/tidyverse/ggplot2/pull/3553,ggplot2
clauswilke,MEMBER,closed,2,https://github.com/tidyverse/ggplot2/pull/3550,2019-10-04T22:04:43Z,2020-04-15T08:08:27Z,2019-10-09T15:22:57Z,"This closes #3549.

``` r
library(ggplot2)

# like element_rect but with a meaningless dummy argument
element_dummyrect <- function(dummy) {
  structure(list(
    fill = NULL, colour = NULL, dummy = dummy, size = NULL,
    linetype = NULL, inherit.blank = FALSE
  ), class = c(""element_dummyrect"", ""element_rect"", ""element""))
}

ggplot2:::calc_element(
  ""panel.background"",
  theme(
    rect = element_rect(fill = ""white"", colour = ""black"", size = 0.5, linetype = 1),
    panel.background = element_dummyrect(dummy = 5))
)
#> List of 6
#>  $ fill         : chr ""white""
#>  $ colour       : chr ""black""
#>  $ dummy        : num 5
#>  $ size         : num 0.5
#>  $ linetype     : num 1
#>  $ inherit.blank: logi FALSE
#>  - attr(*, ""class"")= chr [1:3] ""element_dummyrect"" ""element_rect"" ""element""
```

<sup>Created on 2019-10-04 by the [reprex package](https://reprex.tidyverse.org) (v0.3.0)</sup>",https://github.com/tidyverse/ggplot2/pull/3550,ggplot2
thomasp85,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/3547,2019-10-01T11:50:49Z,2019-12-17T09:00:33Z,2019-12-17T09:00:32Z,"Fixes #3539

Prior to this tiles in `geom_raster` where not removed if they felt outside the scale limits resulting in a squeezing of the raster (it would keep all ""pixels"" but only occupy the area of the pixels inside the scale limits). This PR fixes it by updating the `non_missing_aes` field to include `xmin`, `xmax`, `ymin`, and `ymax`",https://github.com/tidyverse/ggplot2/pull/3547,ggplot2
thomasp85,MEMBER,closed,4,https://github.com/tidyverse/ggplot2/pull/3546,2019-10-01T09:40:59Z,2020-05-05T22:18:29Z,2019-11-04T09:09:51Z,"Fixes #3536

This is an alternative implementation to the fix in #3537 that respects the different geometry types interpretation of NA. As the problem of NA's is unique to the vectorised constructors there is no need to handle geometrycollections in any special way as they will always be treated as scalars and grid accepts a single NA in `gpar()`

``` r
library(ggplot2)
library(sf)
#> Linking to GEOS 3.6.1, GDAL 2.1.3, PROJ 4.9.3

pt <- st_point(1:2)

outer <- matrix(c(0,0,10,0,10,10,0,10,0,0),ncol=2, byrow=TRUE)
pl <- st_polygon(list(outer))

# point is shown
sf1 <- st_sf(geometry = st_sfc(pl, pt))
ggplot(sf1) + geom_sf()
```

![](https://i.imgur.com/Oaanmw4.png)

``` r

# point is still shown as expected
sf2 <- st_sf(geometry = st_sfc(st_geometrycollection(list(pl, pt))))
ggplot(sf2) + geom_sf()
```

![](https://i.imgur.com/EanmKtL.png)

``` r

# NA is handled fine for collections
ggplot(sf2) + geom_sf(colour = NA)
```

![](https://i.imgur.com/RznSwMB.png)

``` r

# as well as for vectorised geometries
sf3 <- st_sf(geometry = st_sfc(pt, st_point(3:4)), one_na = c(1, NA))
ggplot(sf3) + geom_sf(aes(size = one_na))
```

![](https://i.imgur.com/U6bNKvt.png)

<sup>Created on 2019-10-01 by the [reprex package](https://reprex.tidyverse.org) (v0.2.1)</sup>",https://github.com/tidyverse/ggplot2/pull/3546,ggplot2
